|        a         |        b         | sel  |ove|       out        |
| 0101010110001010 | 1011010011001110 | 0000 | 0 | 0001010010001010 |
| 0001110110110010 | 0010011101001101 | 0001 | 0 | 0011111111111111 |
| 1100101001100011 | 0000000000000000 | 0010 | 0 | 0011010110011100 |
| 1111000011001001 | 1010110010001010 | 0011 | 0 | 0101110001000011 |
| 0001010111010101 | 0000111010111011 | 0100 | 0 | 0010010010010000 |
| 0101010111010101 | 0010111010111011 | 0101 | 1 | 0010011100011010 |
| 0000000001011101 | 0000000001010011 | 0110 | 0 | 0001111000100111 |
| 1001100110110001 | 0000000011010010 | 0111 | 0 | 1001101010100010 |
| 1010101011010011 | 0000000000000000 | 1000 | 0 | 0101010110100110 |
| 0010110101101110 | 0000000000000000 | 1001 | 0 | 0001011010110111 |
